,Nom_Districte,Nom_Barri,Valor
0,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",20413
1,Ciutat Vella,el Barri Gòtic,25609
2,Ciutat Vella,el Raval,42429
3,Ciutat Vella,la Barceloneta,13413
4,Eixample,Sant Antoni,34703
5,Eixample,el Fort Pienc,32434
6,Eixample,l'Antiga Esquerra de l'Eixample,39146
7,Eixample,la Dreta de l'Eixample,39806
8,Eixample,la Nova Esquerra de l'Eixample,52103
9,Eixample,la Sagrada Família,47581
10,Gràcia,Vallcarca i els Penitents,14315
11,Gràcia,el Camp d'en Grassot i Gràcia Nova,32202
12,Gràcia,el Coll,6886
13,Gràcia,la Salut,11902
14,Gràcia,la Vila de Gràcia,45202
15,Horta-Guinardó,Can Baró,8325
16,Horta-Guinardó,Horta,26851
17,Horta-Guinardó,Montbau,4647
18,Horta-Guinardó,Sant Genís dels Agudells,6632
19,Horta-Guinardó,el Baix Guinardó,23204
20,Horta-Guinardó,el Carmel,28665
21,Horta-Guinardó,el Guinardó,33722
22,Horta-Guinardó,la Clota,719
23,Horta-Guinardó,la Font d'en Fargues,8397
24,Horta-Guinardó,la Teixonera,10893
25,Horta-Guinardó,la Vall d'Hebron,5206
26,Les Corts,Pedralbes,10106
27,Les Corts,la Maternitat i Sant Ramon,21219
28,Les Corts,les Corts,40411
29,Nou Barris,Can Peguera,1776
30,Nou Barris,Canyelles,5960
31,Nou Barris,Ciutat Meridiana,9042
32,Nou Barris,Porta,27004
33,Nou Barris,Torre Baró,2514
34,Nou Barris,Vallbona,1072
35,Nou Barris,Verdun,11388
36,Nou Barris,Vilapicina i la Torre Llobeta,22925
37,Nou Barris,el Turó de la Peira,14516
38,Nou Barris,la Guineueta,13436
39,Nou Barris,la Prosperitat,23972
40,Nou Barris,la Trinitat Nova,6663
41,Nou Barris,les Roquetes,14273
42,Sant Andreu,Baró de Viver,2147
43,Sant Andreu,Navas,19797
44,Sant Andreu,Sant Andreu,50132
45,Sant Andreu,el Bon Pastor,13148
46,Sant Andreu,el Congrés i els Indians,13012
47,Sant Andreu,la Sagrera,26701
48,Sant Andreu,la Trinitat Vella,8992
49,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,11177
50,Sant Martí,Provençals del Poblenou,18465
51,Sant Martí,Sant Martí de Provençals,23351
52,Sant Martí,el Besòs i el Maresme,25787
53,Sant Martí,el Camp de l'Arpa del Clot,35089
54,Sant Martí,el Clot,23656
55,Sant Martí,el Parc i la Llacuna del Poblenou,15096
56,Sant Martí,el Poblenou,29328
57,Sant Martí,la Verneda i la Pau,27001
58,Sant Martí,la Vila Olímpica del Poblenou,7942
59,Sants-Montjuïc,Hostafrancs,14641
60,Sants-Montjuïc,Sants,41198
61,Sants-Montjuïc,Sants - Badal,22181
62,Sants-Montjuïc,el Poble-sec,35439
63,Sants-Montjuïc,la Bordeta,18336
64,Sants-Montjuïc,la Font de la Guatlla,9694
65,Sants-Montjuïc,la Marina de Port,27051
66,Sants-Montjuïc,la Marina del Prat Vermell,2220
67,Sarrià-St. Gervasi,Sant Gervasi - Galvany,41160
68,Sarrià-St. Gervasi,Sant Gervasi - la Bonanova,21935
69,Sarrià-St. Gervasi,Sarrià,20240
70,Sarrià-St. Gervasi,"Vallvidrera, el Tibidabo i les Planes",3922
71,Sarrià-St. Gervasi,el Putxet i el Farró,25838
72,Sarrià-St. Gervasi,les Tres Torres,13142
