Nom_Districte,Tipus_Propulsio,Unidades
Ciutat Vella,Diesel,11157
Ciutat Vella,Eléctrica,6433
Ciutat Vella,Gasolina,25402
Ciutat Vella,Hibrido,1987
Ciutat Vella,No consta,69
Ciutat Vella,Otros,606
Eixample,Diesel,34007
Eixample,Eléctrica,2195
Eixample,Gasolina,84176
Eixample,Hibrido,9864
Eixample,No consta,169
Eixample,Otros,2190
Gràcia,Diesel,13525
Gràcia,Eléctrica,785
Gràcia,Gasolina,39508
Gràcia,Hibrido,3613
Gràcia,No consta,60
Gràcia,Otros,633
Horta-Guinardó,Diesel,21424
Horta-Guinardó,Eléctrica,698
Horta-Guinardó,Gasolina,54817
Horta-Guinardó,Hibrido,4780
Horta-Guinardó,No consta,68
Horta-Guinardó,Otros,1167
Les Corts,Diesel,11897
Les Corts,Eléctrica,1370
Les Corts,Gasolina,31914
Les Corts,Hibrido,4201
Les Corts,No consta,63
Les Corts,Otros,565
No consta,Diesel,2
No consta,Gasolina,7
No consta,Otros,1
Nou Barris,Diesel,22464
Nou Barris,Eléctrica,312
Nou Barris,Gasolina,43007
Nou Barris,Hibrido,3731
Nou Barris,No consta,66
Nou Barris,Otros,1322
Sant Andreu,Diesel,20208
Sant Andreu,Eléctrica,1085
Sant Andreu,Gasolina,41176
Sant Andreu,Hibrido,4780
Sant Andreu,No consta,38
Sant Andreu,Otros,1367
Sant Martí,Diesel,32431
Sant Martí,Eléctrica,2753
Sant Martí,Gasolina,66199
Sant Martí,Hibrido,8201
Sant Martí,No consta,78
Sant Martí,Otros,1921
Sants-Montjuïc,Diesel,25351
Sants-Montjuïc,Eléctrica,2530
Sants-Montjuïc,Gasolina,51399
Sants-Montjuïc,Hibrido,6269
Sants-Montjuïc,No consta,95
Sants-Montjuïc,Otros,3129
Sarrià-St. Gervasi,Diesel,20915
Sarrià-St. Gervasi,Eléctrica,2795
Sarrià-St. Gervasi,Gasolina,72551
Sarrià-St. Gervasi,Hibrido,7028
Sarrià-St. Gervasi,No consta,130
Sarrià-St. Gervasi,Otros,781
